"v960066","v960067","v960070","v960071","v960073","v960115","v960119","v960272","v960281","v960284","v960292","v960293","v960365","v960385","v960420","v960568","v960571","v960605","v960606","v960610","v960701","v961039","v961300","religion"
1,1,3,3,2,1,574,0,0,85,0,85,6,3,4,3,2,32,3,3,21,70,5,2
1,1,2,2,1,1,0,60,30,70,30,60,5,1,5,4,1,42,1,6,22,50,5,2
1,1,2,2,2,1,0,70,85,15,70,30,2,1,2,4,2,53,1,6,24,70,5,9
1,1,2,2,3,1,0,30,40,60,40,60,5,3,5,1,2,31,1,7,21,50,5,9
2,1,4,2,3,1,0,40,60,30,40,60,4,3,4,4,1,34,1,6,21,50,5,2
1,1,3,3,4,1,7323,70,15,60,40,60,4,5,5,2,1,73,1,1,NA,NA,NA,9
2,1,2,2,2,1,7323,0,15,30,30,70,3,3,1,4,1,40,1,7,24,NA,NA,2
2,1,1,1,1,1,23,40,50,60,40,85,4,1,1,3,1,48,1,4,NA,85,5,2
2,1,1,1,1,1,23,90,100,15,90,30,2,1,0,4,1,49,1,7,24,85,1,1
2,2,3,3,3,1,7323,85,70,0,60,0,NA,3,1,3,1,76,2,5,11,30,5,1
1,1,2,2,1,1,7323,85,100,0,85,70,5,1,1,5,1,19,5,4,11,85,5,7
1,1,3,3,3,1,7323,40,15,60,15,50,6,3,6,3,2,32,1,3,17,NA,NA,9
2,1,1,2,1,1,7323,85,85,0,100,0,4,1,0,4,1,44,5,5,18,NA,NA,2
1,1,4,3,3,1,6,50,60,40,50,60,5,5,4,4,2,39,3,3,17,60,5,9
2,1,2,1,3,1,9,85,60,0,60,40,NA,1,1,4,1,51,1,7,21,50,5,1
2,1,4,2,4,1,9,60,50,50,50,60,4,3,5,2,1,33,1,6,17,50,5,1
1,1,1,2,1,1,0,50,0,60,85,85,6,5,6,4,1,55,1,7,24,30,5,2
2,1,2,2,2,1,0,85,70,0,85,30,4,1,0,4,1,39,1,6,23,60,1,3
1,1,1,1,2,1,1586,15,0,70,30,70,4,3,6,2,1,56,5,7,24,15,5,1
2,2,2,2,2,1,1586,50,40,20,40,30,NA,5,0,5,1,60,4,5,6,100,1,7
2,1,4,3,3,1,19,70,85,NA,70,60,5,1,1,2,1,32,3,4,17,85,5,2
2,1,3,3,3,1,19,50,0,70,60,85,4,5,4,4,1,71,1,3,6,NA,NA,2
2,4,3,2,3,2,37,70,70,50,85,70,4,1,2,4,1,51,1,6,16,70,5,1
2,1,2,3,1,2,14,85,60,0,70,30,3,1,0,3,1,62,1,6,21,85,5,2
2,1,3,2,2,2,42,70,60,30,70,40,3,1,0,2,1,32,1,7,23,70,5,2
1,2,3,3,3,2,2784,75,85,0,60,0,3,3,0,1,2,39,5,3,1,NA,NA,9
1,2,3,3,3,2,2784,100,70,10,100,0,4,3,0,1,1,41,3,3,12,NA,NA,1
1,1,3,3,3,2,33,30,0,50,70,70,6,3,5,2,1,51,2,4,1,50,5,2
1,1,3,3,2,2,33,50,0,25,0,100,6,3,6,3,1,88,2,2,12,60,5,2
2,1,2,2,2,2,5,85,70,40,85,15,4,1,0,4,1,32,5,5,16,60,1,9
2,1,3,2,3,2,71,70,30,NA,70,70,NA,3,5,2,1,58,1,2,9,100,5,9
2,1,1,2,2,2,17,100,85,0,85,30,2,1,0,4,1,57,1,6,22,60,5,2
2,1,1,2,1,2,14,85,75,15,35,35,5,1,2,2,1,40,3,5,15,40,1,7
2,2,3,3,3,2,1028,70,50,NA,70,50,NA,5,2,3,1,32,5,3,4,NA,NA,7
2,2,3,3,2,2,1028,100,100,70,100,15,NA,3,0,2,1,38,5,7,18,NA,NA,7
2,1,2,2,3,2,506,70,70,50,85,40,4,1,0,2,1,31,5,3,14,100,5,9
1,1,1,1,1,2,34,70,50,85,60,70,5,1,4,2,1,55,1,7,23,30,5,2
2,1,1,1,2,2,4,90,100,70,70,30,3,1,0,5,1,50,1,7,NA,85,1,1
1,1,3,3,3,2,0,70,60,30,70,40,5,1,1,2,1,35,5,3,15,40,5,1
2,1,1,1,1,2,0,70,85,0,60,40,2,1,1,5,1,31,5,7,17,60,1,9
1,1,2,2,2,2,0,70,30,15,70,60,5,3,1,4,1,48,1,4,20,30,5,1
2,2,3,3,2,2,0,60,50,40,60,60,4,1,3,4,1,47,6,4,5,NA,NA,1
1,1,2,2,2,2,0,85,60,0,95,70,3,1,2,2,NA,43,3,7,24,NA,NA,9
2,1,3,3,2,2,15,70,60,40,60,40,4,1,2,2,1,36,5,3,16,60,5,9
2,1,4,3,2,2,15,60,40,0,60,0,2,5,1,4,1,51,1,4,12,100,1,9
2,1,3,2,3,2,15,70,70,0,70,15,2,5,2,2,1,NA,3,7,18,100,1,7
1,1,2,2,2,3,76,85,70,30,85,60,2,1,0,4,1,36,1,4,20,70,5,7
1,1,2,2,2,3,29,60,15,60,40,60,6,1,6,5,1,49,3,6,23,40,5,9
1,4,4,3,3,3,171,70,70,NA,50,50,4,5,6,1,2,25,5,4,16,60,5,9
1,1,1,2,4,3,24,15,0,70,50,70,6,5,4,1,2,61,3,3,21,50,5,9
2,1,1,1,2,3,24,70,60,15,60,40,3,3,1,5,1,38,1,7,24,60,5,2
2,1,2,2,1,3,24,60,70,50,50,50,5,3,4,1,2,36,1,4,18,45,5,9
1,2,2,2,1,3,736,70,60,40,60,50,6,1,2,2,1,47,5,7,4,60,5,7
1,2,1,1,1,3,2,100,100,0,70,0,1,3,1,5,1,66,1,4,12,NA,NA,7
2,1,2,2,2,3,87,70,70,50,50,50,4,3,6,5,1,57,4,4,24,70,5,2
2,2,3,3,3,3,22,100,70,NA,100,30,NA,1,0,2,1,42,5,3,1,70,5,9
1,1,3,2,3,3,1631,0,0,15,15,85,6,3,6,4,1,42,1,6,NA,50,5,2
2,1,2,2,2,3,1631,70,85,0,60,85,5,1,6,5,1,50,1,7,23,90,5,1
1,1,3,2,3,3,1631,60,50,30,60,40,4,1,1,1,1,30,1,6,20,40,5,2
2,1,1,2,1,3,1631,15,0,85,30,70,7,1,6,4,1,29,1,6,NA,40,5,1
1,1,2,2,2,3,1631,60,70,30,70,70,5,3,2,4,1,57,1,4,23,75,5,1
2,1,4,2,3,3,1631,70,60,30,60,40,5,1,1,4,1,29,1,5,NA,60,5,1
2,2,5,4,5,3,0,100,NA,NA,50,NA,NA,5,3,2,1,39,4,1,3,100,5,1
2,1,2,2,2,3,0,100,85,40,85,65,5,1,2,4,1,72,1,4,12,85,1,1
2,1,3,3,2,3,0,0,0,70,50,70,5,3,5,4,1,41,1,3,11,40,5,1
1,1,3,3,3,3,64,100,100,60,100,70,2,3,0,2,1,24,5,2,5,NA,NA,9
1,1,1,2,1,3,1631,15,0,85,15,85,6,3,6,2,1,38,5,6,17,15,5,9
2,2,2,2,1,3,1631,85,85,30,100,15,3,3,1,5,1,24,5,6,6,70,5,9
2,1,4,3,3,3,1631,85,85,50,60,50,NA,5,2,2,1,22,1,3,15,100,5,2
2,1,3,3,2,3,1631,100,85,50,100,0,4,3,0,2,1,70,2,3,12,85,5,1
1,1,2,2,1,3,101,15,15,85,40,85,6,5,6,4,1,59,1,5,21,50,5,1
2,1,3,3,2,3,129,50,10,30,30,50,6,3,6,2,1,37,3,4,18,60,5,1
1,2,3,2,3,3,448,70,70,NA,100,0,NA,1,0,3,1,18,5,2,20,85,1,9
2,2,2,2,3,3,448,100,100,50,70,85,4,3,0,1,1,34,1,3,2,100,1,9
2,1,3,3,3,4,75,0,15,60,30,85,6,3,6,2,1,62,1,6,22,15,5,1
2,1,3,3,3,4,75,60,30,30,40,60,5,3,5,2,1,43,1,6,NA,60,5,1
2,1,3,3,2,4,75,30,40,50,30,70,5,5,5,2,1,37,1,4,21,60,5,2
