"year","country","age","gender","corruption","imp_democracy","income_group"
2017,"US",43,2,10,2,3
2017,"US",35,2,5,5,5
2017,"US",48,2,1,1,1
2017,"US",49,2,10,10,1
2017,"US",20,2,1,5,5
2017,"US",27,1,1,1,1
2017,"US",41,1,10,10,6
2017,"US",52,2,10,6,10
2017,"US",24,2,10,5,NA
2017,"US",57,1,10,1,1
2017,"US",45,2,6,6,6
2017,"US",20,1,10,10,5
2017,"US",31,2,10,4,2
2017,"US",30,2,10,10,5
2017,"US",27,2,10,6,1
2017,"US",28,2,3,1,1
2017,"US",37,2,10,5,8
2017,"US",51,2,10,10,4
2017,"US",55,1,10,10,5
2017,"US",23,1,10,1,1
2017,"US",30,2,10,10,5
2017,"US",30,1,5,7,8
2017,"US",57,2,10,5,1
2017,"US",38,2,8,5,7
2017,"US",28,1,9,7,5
2017,"US",37,1,10,10,6
2017,"US",35,2,8,7,2
2017,"US",29,2,6,4,4
2017,"US",34,2,10,7,2
2017,"US",33,2,9,4,5
2017,"US",35,1,10,8,3
2017,"US",29,1,4,5,5
2017,"US",27,1,10,5,5
2017,"US",31,2,7,5,3
2017,"US",22,1,10,1,3
2017,"US",29,2,10,7,6
2017,"US",60,2,10,6,6
2017,"US",39,1,6,4,5
2017,"US",40,1,10,5,6
2017,"US",39,2,10,10,3
2017,"US",24,2,10,1,5
2017,"US",31,1,5,5,5
2017,"US",65,1,8,10,8
2017,"US",42,2,10,5,5
2017,"US",23,2,1,5,1
2017,"US",36,2,10,8,5
2017,"US",53,2,9,5,8
2017,"US",30,2,5,5,5
2017,"US",18,2,3,6,6
2017,"US",64,1,9,10,4
2017,"US",52,2,5,5,10
2017,"US",55,1,5,10,8
2017,"US",32,1,10,5,1
2017,"US",34,1,10,5,5
2017,"US",25,2,5,5,5
2017,"US",36,1,10,5,2
2017,"US",22,2,6,6,6
2017,"US",27,2,10,1,5
2017,"US",46,2,10,10,6
2017,"US",24,2,10,10,5
2017,"US",64,2,10,10,1
2017,"US",34,1,10,5,1
2017,"US",49,1,10,10,5
2017,"US",24,2,5,5,5
2017,"US",55,2,10,5,4
2017,"US",29,2,10,5,5
2017,"US",49,1,10,10,5
2017,"US",18,2,4,6,4
2017,"US",18,2,5,5,5
2017,"US",19,2,10,6,6
2017,"US",22,2,10,5,1
2017,"US",63,1,10,10,1
2017,"US",26,1,6,6,6
2017,"US",23,2,3,7,5
2017,"US",63,2,10,10,1
2017,"US",28,1,10,1,1
2017,"US",47,1,10,6,5
2017,"US",43,2,10,1,1
2017,"US",23,2,7,4,7
2017,"US",34,2,10,8,2
