"","X","internettbruk","kjonn","alder","utdanning","tillit"
"1",1,5,2,67,18,8
"2",2,5,1,45,11,6
"3",3,1,2,73,8,0
"4",4,5,1,21,8,NA
"5",5,1,2,86,3,6
"6",6,5,2,53,17,6
"7",7,1,1,77,18,0
"8",8,5,2,35,18,3
"9",9,1,2,66,16,6
"10",10,4,1,52,10,6
"11",11,1,2,83,5,NA
"12",12,1,2,86,3,7
"13",13,1,1,62,5,5
"14",14,5,1,40,20,6
"15",15,5,2,52,11,8
"16",16,5,1,20,13,5
"17",17,5,2,57,13,5
"18",18,4,2,51,16,4
"19",19,5,1,46,13,7
"20",20,3,1,38,NA,3
"21",21,5,2,74,11,3
"22",22,5,1,24,16,3
"23",23,2,2,48,12,4
"24",24,5,2,27,NA,6
"25",25,5,2,32,18,2
"26",26,4,1,38,9,3
"27",27,5,1,29,19,0
"28",28,4,1,16,8,NA
"29",29,1,2,65,8,3
"30",30,5,2,45,8,6
"31",31,5,2,27,13,7
"32",32,5,2,22,13,4
"33",33,2,1,42,11,7
"34",34,5,1,51,13,5
"35",35,5,2,53,14,5
"36",36,5,2,49,14,5
"37",37,1,2,80,NA,0
"38",38,1,2,81,2,5
"39",39,5,1,74,21,2
"40",40,1,1,90,6,4
"41",41,3,2,55,11,7
"42",42,5,2,51,8,6
"43",43,2,1,49,15,4
"44",44,2,1,50,10,2
"45",45,3,2,71,5,4
"46",46,5,2,62,16,1
"47",47,2,1,45,13,4
"48",48,3,2,42,21,4
"49",49,5,1,34,14,3
"50",50,5,2,23,16,4
"51",51,5,2,48,13,7
"52",52,3,1,51,10,2
"53",53,3,1,62,8,4
"54",54,5,1,61,13,4
"55",55,1,2,79,10,7
"56",56,5,2,46,13,4
"57",57,5,1,26,16,10
"58",58,5,2,32,13,3
"59",59,4,2,48,13,10
"60",60,3,1,64,7,5
"61",61,5,1,26,19,6
"62",62,5,1,51,18,8
"63",63,5,1,32,13,5
"64",64,4,1,21,13,7
"65",65,1,1,56,13,6
"66",66,1,2,70,13,0
"67",67,1,2,76,5,3
"68",68,5,1,39,13,8
"69",69,5,2,59,13,0
"70",70,5,2,28,8,8
"71",71,1,2,82,5,2
"72",72,5,2,44,14,5
"73",73,4,1,53,12,5
"74",74,4,1,72,NA,8
"75",75,2,1,55,13,7
"76",76,5,2,41,13,6
"77",77,4,2,64,12,4
"78",78,1,2,84,5,5
"79",79,5,2,41,14,5
"80",80,3,1,70,7,5
"81",81,3,2,46,16,5
"82",82,1,1,64,5,7
"83",83,1,1,74,8,7
"84",84,5,1,27,13,NA
"85",85,5,2,52,19,7
"86",86,1,1,59,8,6
"87",87,2,2,64,8,0
"88",88,5,2,23,13,8
"89",89,1,2,90,NA,2
"90",90,5,2,25,NA,3
"91",91,4,1,58,9,5
"92",92,5,2,21,15,5
"93",93,5,2,16,9,6
"94",94,2,2,74,12,6
"95",95,1,1,80,10,0
"96",96,2,2,55,13,6
"97",97,5,1,50,7,6
"98",98,5,2,33,13,0
"99",99,1,1,81,8,7
"100",100,4,1,43,13,0
"101",101,1,2,NA,NA,5
"102",102,4,1,52,18,NA
"103",103,5,2,63,13,1
"104",104,5,2,30,20,0
"105",105,2,2,46,13,5
"106",106,5,2,52,8,5
"107",107,1,1,81,6,0
"108",108,5,2,18,11,6
"109",109,1,1,77,8,0
"110",110,1,2,80,5,9
"111",111,5,2,69,16,6
"112",112,4,1,69,6,6
"113",113,3,2,66,13,4
"114",114,1,2,80,11,5
"115",115,5,2,31,19,5
"116",116,5,2,50,13,3
"117",117,2,2,89,14,6
"118",118,3,1,53,8,5
"119",119,5,2,42,13,6
"120",120,5,2,23,16,5
"121",121,3,1,59,8,4
"122",122,5,2,52,9,4
"123",123,5,2,22,16,3
"124",124,4,1,71,11,5
"125",125,1,2,77,12,8
"126",126,2,2,83,14,4
"127",127,5,2,43,13,7
"128",128,3,1,69,13,1
"129",129,4,1,50,11,5
"130",130,2,1,54,8,5
"131",131,5,2,19,13,6
"132",132,1,1,59,16,3
"133",133,5,1,17,12,5
"134",134,5,2,46,12,7
"135",135,5,2,24,17,5
"136",136,4,2,42,15,8
"137",137,5,2,60,14,7
"138",138,1,2,85,5,0
"139",139,3,2,56,16,4
"140",140,5,2,54,20,8
"141",141,1,1,64,10,0
"142",142,2,2,74,8,0
"143",143,4,2,48,17,5
"144",144,1,2,83,5,NA
"145",145,5,1,35,8,8
"146",146,1,2,76,8,8
"147",147,4,1,35,12,5
"148",148,5,2,21,17,5
"149",149,1,1,60,5,0
"150",150,5,2,17,10,5
"151",151,5,2,57,13,8
"152",152,4,2,67,13,2
"153",153,4,2,37,13,NA
"154",154,5,1,52,19,3
"155",155,2,1,44,8,7
"156",156,5,2,48,10,6
"157",157,4,1,57,10,3
"158",158,1,2,64,2,0
"159",159,5,2,32,18,4
"160",160,1,1,67,12,3
"161",161,4,2,48,11,1
"162",162,4,1,66,13,7
"163",163,5,2,19,12,2
"164",164,1,2,57,14,3
"165",165,5,2,43,9,6
"166",166,NA,1,82,5,5
"167",167,3,2,40,15,0
"168",168,1,2,71,5,NA
"169",169,2,1,45,8,5
"170",170,1,2,71,5,2
"171",171,5,1,19,8,2
"172",172,5,1,33,12,0
"173",173,5,1,68,9,10
"174",174,2,1,70,12,5
"175",175,5,2,28,18,5
"176",176,5,2,67,20,5
"177",177,1,2,83,12,3
"178",178,5,1,67,20,5
"179",179,5,1,18,11,7
"180",180,5,2,26,14,5
"181",181,3,2,55,8,4
"182",182,5,1,33,17,5
"183",183,5,2,50,13,3
"184",184,5,1,53,13,5
"185",185,5,1,48,13,5
"186",186,5,2,47,8,5
"187",187,5,2,38,13,3
"188",188,3,1,32,8,3
"189",189,5,1,40,13,5
"190",190,4,1,42,11,4
"191",191,1,2,69,8,7
"192",192,5,1,22,8,3
"193",193,5,2,46,13,3
"194",194,5,2,29,23,0
"195",195,5,1,42,16,3
"196",196,5,2,44,18,3
"197",197,5,2,46,11,4
"198",198,2,1,64,11,3
"199",199,5,1,23,16,6
"200",200,1,2,63,13,1
"201",201,4,1,60,8,0
"202",202,5,1,60,17,8
"203",203,5,1,33,8,0
"204",204,5,1,24,18,3
"205",205,5,2,37,NA,5
"206",206,4,2,44,11,1
"207",207,3,1,43,5,10
"208",208,4,2,40,14,0
"209",209,5,1,31,8,5
"210",210,2,2,67,8,10
"211",211,1,2,81,14,5
"212",212,5,2,32,8,1
"213",213,4,2,70,8,6
"214",214,5,1,33,13,9
"215",215,1,1,75,7,3
"216",216,5,2,34,13,3
"217",217,3,2,50,NA,6
"218",218,1,2,68,5,8
"219",219,1,2,72,8,2
"220",220,3,1,76,13,3
"221",221,5,1,61,9,8
"222",222,5,2,51,18,8
"223",223,1,2,86,5,5
"224",224,5,2,41,14,4
"225",225,5,2,28,18,5
"226",226,5,1,25,13,2
"227",227,5,1,42,13,7
"228",228,1,1,66,5,2
"229",229,5,2,19,12,4
"230",230,5,1,63,13,6
"231",231,5,1,19,12,6
"232",232,5,2,28,8,2
"233",233,1,2,82,13,5
"234",234,5,1,41,13,5
"235",235,4,2,76,5,8
"236",236,5,2,36,13,6
"237",237,4,2,36,16,4
"238",238,4,1,55,8,5
"239",239,5,1,75,14,6
"240",240,1,2,74,8,6
"241",241,5,2,30,13,0
"242",242,5,1,41,13,5
"243",243,5,2,35,13,0
"244",244,5,2,29,13,0
"245",245,4,1,50,11,6
"246",246,1,1,86,5,2
"247",247,5,2,72,17,5
"248",248,4,1,30,13,0
"249",249,5,2,43,24,5
"250",250,4,2,35,13,4
"251",251,5,2,75,18,6
"252",252,4,2,57,18,5
"253",253,4,1,43,12,2
"254",254,5,2,17,13,6
"255",255,3,2,17,6,5
"256",256,2,2,60,12,5
"257",257,1,2,49,10,5
"258",258,2,1,57,18,6
"259",259,1,2,70,5,0
"260",260,5,2,24,17,2
"261",261,2,1,66,14,6
"262",262,3,1,69,8,0
"263",263,1,1,73,5,6
"264",264,4,1,39,15,0
"265",265,5,2,66,NA,5
"266",266,5,1,63,13,6
"267",267,1,2,88,5,0
"268",268,5,2,22,18,2
"269",269,3,1,64,8,4
"270",270,5,1,32,17,6
"271",271,5,1,45,8,0
"272",272,4,2,49,8,6
"273",273,5,2,33,13,8
"274",274,4,1,40,19,2
"275",275,5,1,55,NA,7
"276",276,5,1,33,21,4
"277",277,5,1,56,8,7
"278",278,5,2,27,13,0
"279",279,5,2,25,16,8
"280",280,4,1,40,18,5
"281",281,5,1,52,19,6
"282",282,3,2,55,11,4
"283",283,2,2,46,13,7
"284",284,1,2,84,4,5
"285",285,4,1,48,19,0
"286",286,1,2,47,5,5
"287",287,5,1,35,13,7
"288",288,4,1,27,NA,0
"289",289,1,1,72,5,0
"290",290,1,1,77,8,5
"291",291,1,2,90,5,2
"292",292,5,1,41,10,4
"293",293,1,1,71,8,3
"294",294,1,2,63,8,7
"295",295,4,2,65,15,4
"296",296,2,2,72,13,4
"297",297,3,2,48,10,6
"298",298,4,1,71,8,5
"299",299,4,2,66,18,5
"300",300,1,1,45,8,0
"301",301,3,1,58,12,6
"302",302,5,2,34,15,6
"303",303,5,2,24,16,10
"304",304,1,1,84,5,0
"305",305,5,2,18,14,7
"306",306,4,2,67,8,6
"307",307,1,1,81,5,7
"308",308,5,1,30,13,4
"309",309,4,1,53,8,3
"310",310,5,1,37,15,0
"311",311,5,1,28,14,7
"312",312,5,1,19,13,10
"313",313,1,2,79,5,NA
"314",314,5,1,25,18,5
"315",315,1,1,62,NA,0
"316",316,5,1,63,12,0
"317",317,5,1,16,12,6
"318",318,5,1,42,8,NA
"319",319,1,2,58,13,3
"320",320,5,2,21,13,4
"321",321,4,1,21,NA,7
"322",322,5,2,23,18,6
"323",323,1,2,77,8,2
"324",324,4,1,55,8,3
"325",325,4,2,60,13,5
"326",326,1,2,68,13,0
"327",327,4,1,68,17,5
"328",328,1,2,82,1,0
